GENE.ID	log2FC	RAW.PVAL	ADJ.PVAL
ENSG00000225972	2.82282457361209	2.09527686187096e-17	6.77687752195906e-15
ENSG00000225630	2.74692304238395	1.61881240780668e-19	2.36284591618992e-16
ENSG00000237973	2.20641745515886	1.48819887638383e-14	1.50177125013646e-12
ENSG00000229344	0.151881721016992	0.264887057919033	0.363262160099009
ENSG00000240409	0.278572412012421	0.423063481092635	0.52649198406694
ENSG00000248527	1.93943201568475	3.5293988403084e-15	5.05907238314206e-13
ENSG00000198744	2.14619460872583	5.83527162085364e-16	1.11294471248183e-13
ENSG00000228794	-0.187943639783048	0.574557508414567	0.665088410676456
ENSG00000225880	0.574277950128498	0.068371373818678	0.120367970599973
ENSG00000223764	2.55702310845469	1.11882609031736e-07	1.42554265689527e-06
ENSG00000187634	-0.149116346594217	0.710415312373633	0.78208926080302
ENSG00000188976	0.155477495486492	0.0927428379540356	0.154808418237371
ENSG00000187961	-0.129592121301699	0.641056926185672	0.72392945988416
ENSG00000272512	0.575609130428849	0.00323709606762192	0.00944327701132814
ENSG00000188290	0.115561809369601	0.622540769315564	0.707644342087638
ENSG00000187608	0.831103716093248	8.80139131322097e-07	8.70068573863396e-06
ENSG00000188157	-0.615180832256153	0.00102203194421053	0.00360008683168713
ENSG00000217801	1.7443881036324	3.53073863765881e-06	2.90581414598764e-05
ENSG00000131591	-0.666897782827262	0.0516583029745555	0.0956292682302676
ENSG00000078808	-0.560213723218119	5.91021602233385e-05	0.00032427779428325
ENSG00000176022	-0.111072513031782	0.569284418552075	0.660560542325074
ENSG00000160087	-1.00486823165195	1.06838537276833e-06	1.03269065839845e-05
ENSG00000162572	1.35501371599754	0.00311695309602524	0.00916485928980476
ENSG00000131584	-0.245820766745789	0.489916722452476	0.5894515010507
ENSG00000169972	-0.0530203182614269	0.789702336502786	0.846473935472989
ENSG00000127054	-0.0777759168088922	0.565551824600788	0.657560209744155
ENSG00000224051	-0.288239944662584	0.40392318715364	0.508035405599364
ENSG00000107404	-0.456728165729841	0.0229471538735637	0.0489523759447205
ENSG00000162576	4.10731724183506	4.92153873993256e-10	1.28797281463712e-08
ENSG00000175756	0.398642049137695	0.000268047684031854	0.00116190841456282
ENSG00000221978	0.0631017495960796	0.697600241661707	0.771663535430626
ENSG00000224870	-0.268450401120717	0.388598185245686	0.492591448968855
ENSG00000242485	0.568925215134216	1.10511152066186e-05	7.76594803433354e-05
ENSG00000272455	1.17061632387217	0.00442912376027939	0.0123521925961009
ENSG00000160072	-0.0606494599941666	0.715553469916814	0.78623619072567
ENSG00000197785	-0.294716696354147	0.0340587916749914	0.0677096293441043
ENSG00000160075	-0.340831458631402	0.00206887775983363	0.00649983164695925
ENSG00000215014	2.64746513559361	5.46155579476882e-10	1.41462145370049e-08
ENSG00000228594	0.398815319665782	0.187946972979297	0.274616369415134
ENSG00000272106	0.821756164102454	0.00173205242925904	0.00561359438403741
ENSG00000197530	0.125464588942464	0.470975571798752	0.572493477044896
ENSG00000248333	0.141203998379975	0.478091365229518	0.579145729473269
ENSG00000189339	-0.411606138494422	0.148458850405563	0.22678037324581
ENSG00000008130	-0.556092292725776	0.00619278656720378	0.0164212339202667
ENSG00000078369	-0.0958731479860928	0.294183589042957	0.394895370031697
ENSG00000142609	1.63171875605997	0.00230641048044585	0.00713414953416969
ENSG00000067606	-0.147816245327931	0.632640023142704	0.715962789513912
ENSG00000162585	0.779329559567603	6.16429608943674e-07	6.39447091479308e-06
ENSG00000157933	-0.699049935678863	0.000739247805356495	0.00274230803128221
ENSG00000116151	-0.395880276580262	0.21018940784737	0.30091126893505
ENSG00000269896	-0.874050498252584	0.107870870218356	0.175436198676423
ENSG00000157916	0.169372466872762	0.186268113426062	0.272668676193147
ENSG00000157911	-0.209486820814642	0.341031238468509	0.444213965514433
ENSG00000157881	-0.149505064307389	0.424464153429616	0.527818496782451
ENSG00000197921	0.230544910639309	0.50831707366715	0.606499391528323
ENSG00000157870	-0.404164399862431	0.0807165703992934	0.138092882004162
